Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
The electrolyte of a nickel-cadmium battery is the lowest when the battery is,The electrolyte of a nickel-cadmium battery is the lowest when the battery is,being charged.,in a discharged condition.,under a heavy load condition.,B
The electrolyte of a nickel cadmium battery is highest when the battery is,The electrolyte of a nickel cadmium battery is highest when the battery is,in a fully charged condition.,in a discharged condition.,under a no-load condition.,A
"The end-of-charge voltage of a 19-cell nickel-cadmium battery, measured while still on charge,","The end-of-charge voltage of a 19-cell nickel-cadmium battery, measured while still on charge,",must be 1.2 to 1.3 volts per cell.,must be 1.4 volts per cell.,depends upon its temperature and the method used for charging.,C
"During discharge, nickel-cadmium batteries will show a lower liquid level than when at full charge because","During discharge, nickel-cadmium batteries will show a lower liquid level than when at full charge because",a chemical action causes the electrolyte to evaporate through the vents.,current leakage from individual cells causes a rise in temperature.,the electrolyte becomes absorbed into the plates.,C
How can the state-of-charge of a nickel-cadmium battery be determined?,How can the state-of-charge of a nickel-cadmium battery be determined?,By measuring the specific gravity of the electrolyte.,By a measured discharge.,By the level of the electrolyte.,B
What may result if water is added to a nickel-cadmium battery when it is not fully charged?,What may result if water is added to a nickel-cadmium battery when it is not fully charged?,Excessive electrolyte dilution.,Excessive spewing is likely to occur during the charging cycle.,No adverse effects since water may be added anytime.,B
"In nickel-cadmium batteries, a rise in cell temperature","In nickel-cadmium batteries, a rise in cell temperature",causes an increase in internal resistance.,causes a decrease in internal resistance.,increases cell voltage.,B
Which of the following best describes the contributing factors to thermal runaway in a nickel-cadmium battery installed in an aircraft?,Which of the following best describes the contributing factors to thermal runaway in a nickel-cadmium battery installed in an aircraft?,High internal resistance intensified by high cell temperatures and a high current discharge/charge rate in a constant potential (voltage) charging system.,Low internal resistance intensified by high cell temperatures and a high voltage discharge/charge rate in a constant current charging system.,Low internal resistance intensified by high cell temperatures and a high current discharge/charge rate in a constant potential (voltage) charging system.,C
"When a charging current is applied to a nickel cadmium battery, the cells emit gas","When a charging current is applied to a nickel cadmium battery, the cells emit gas",toward the end of the charging cycle.,throughout the charging cycle.,especially if the electrolyte level is high.,A
What type of line is normally used in a drawing or blueprint that indicates invisible edges or contours?,What type of line is normally used in a drawing or blueprint that indicates invisible edges or contours?,"Medium-weight short dashes, evenly spaced.","Medium-weight very short dashes, evenly spaced.","Thin-weight, one long and two short dashes, evenly spaced.",A
"(Refer to Figure 27.) In the isometric view of a typical aileron balance weight, identify the view indicated by the arrow.","(Refer to Figure 27.) In the isometric view of a typical aileron balance weight, identify the view indicated by the arrow.",1,3,2,B
"(1) A detail drawing is a description of a single part.|(2) An assembly drawing is a description of an object made up of two or more parts.|Regarding the above statements,","(1) A detail drawing is a description of a single part.|(2) An assembly drawing is a description of an object made up of two or more parts.|Regarding the above statements,",only 1 is true.,neither 1 nor 2 is true.,both 1 and 2 are true.,C
(Refer to Figure 28.) Identify the bottom view of the object shown.,(Refer to Figure 28.) Identify the bottom view of the object shown.,2,3,1,A
"A specific measured distance from the datum or some other point identified by the manufacturer, to a point in or on the aircraft is called a","A specific measured distance from the datum or some other point identified by the manufacturer, to a point in or on the aircraft is called a",zone number.,reference number.,station number.,C
Which statement is true regarding an orthographic projection?,Which statement is true regarding an orthographic projection?,There are always at least two views.,It could have as many as eight views.,"One-view, two-view, and three-view drawings are the most common.",C
(Refer to Figure 29.) Identify the left side view of the object shown.,(Refer to Figure 29.) Identify the left side view of the object shown.,1,2,3,C
A line used to show an edge which is not visible is a,A line used to show an edge which is not visible is a,phantom line.,hidden line.,break line.,B
(Refer to Figure 30.) Identify the bottom view of the object.,(Refer to Figure 30.) Identify the bottom view of the object.,1,2,3,A
"(1) Schematic diagrams indicate the location of individual components in the aircraft.|(2) Schematic diagrams indicate the location of components with respect to each other within the system.|Regarding the above statements,","(1) Schematic diagrams indicate the location of individual components in the aircraft.|(2) Schematic diagrams indicate the location of components with respect to each other within the system.|Regarding the above statements,",only 1 is true.,both 1 and 2 are true.,only 2 is true.,C
(Refer to Figure 31.) What are the proper procedural steps for sketching repairs and alterations?,(Refer to Figure 31.) What are the proper procedural steps for sketching repairs and alterations?,"3, 1, 4, and 2.","4, 2, 3, and 1.","1, 3, 4, and 2.",A
Which statement is applicable when using a sketch for making a part?,Which statement is applicable when using a sketch for making a part?,The sketch may be used only if supplemented with three-view orthographic projection drawings.,The sketch must show all information to manufacture the part.,The sketch need not show all necessary construction details.,B
(Refer to Figure 32.) What is the next step required for a working sketch of the illustration?,(Refer to Figure 32.) What is the next step required for a working sketch of the illustration?,Darken the object outlines.,Sketch extension and dimension lines.,"Add notes, dimensions, title, and date.",B
